名目季節調整系列(前期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:％),,,,,,
"Nominal, Seasonally Adjusted Series (Quarter-to-Quarter Percent Change)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(%),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/ 1- 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4- 6.,-0.2 ,1.0 ,1.0 ,0.9 ,4.5 ,-0.6 ,***,2.1 ,2.1 ,***,***,1.1 ,4.7 ,,***,-0.4 ,2.2 ,-0.3 ,,-0.0 ,-0.9 ,2.9 ,,1.2 ,,1.0 ,,,,,,
7- 9.,0.8 ,0.6 ,0.6 ,0.5 ,8.0 ,-0.7 ,***,1.0 ,-3.9 ,***,***,-1.0 ,2.7 ,,***,2.4 ,2.8 ,0.8 ,,1.1 ,1.7 ,-0.7 ,,0.0 ,,0.2 ,,,,,,
10-12.,-0.3 ,0.2 ,0.2 ,0.0 ,-4.4 ,1.1 ,***,1.1 ,-1.8 ,***,***,0.1 ,0.1 ,,***,3.4 ,4.5 ,-0.3 ,,-0.3 ,-0.4 ,0.0 ,,-0.9 ,,-0.0 ,,,,,,
1995/ 1- 3.,0.6 ,0.6 ,0.5 ,0.5 ,-3.4 ,2.2 ,***,1.3 ,-4.2 ,***,***,-0.1 ,2.0 ,,***,1.8 ,2.0 ,0.7 ,,0.8 ,1.5 ,-1.4 ,,-0.8 ,,0.1 ,,,,,,
4- 6.,0.7 ,0.5 ,0.5 ,0.5 ,-3.0 ,2.9 ,***,0.6 ,3.8 ,***,***,-2.2 ,-1.5 ,,***,-5.7 ,-1.2 ,0.6 ,,0.8 ,0.5 ,2.0 ,,2.0 ,,0.9 ,,,,,,
7- 9.,1.3 ,0.6 ,0.6 ,0.5 ,-2.1 ,1.6 ,***,1.2 ,7.5 ,***,***,6.2 ,10.6 ,,***,26.2 ,20.8 ,1.6 ,,1.5 ,0.9 ,3.5 ,,2.6 ,,1.1 ,,,,,,
10-12.,0.3 ,0.8 ,0.8 ,0.7 ,2.0 ,1.3 ,***,0.7 ,0.4 ,***,***,2.3 ,7.1 ,,***,3.2 ,2.5 ,0.4 ,,0.7 ,0.7 ,0.6 ,,1.2 ,,0.5 ,,,,,,
1996/ 1- 3.,0.4 ,-0.3 ,-0.4 ,-0.6 ,4.7 ,-0.8 ,***,0.2 ,5.0 ,***,***,2.0 ,4.1 ,,***,-38.6 ,-56.7 ,0.5 ,,0.5 ,-0.0 ,2.2 ,,1.9 ,,0.3 ,,,,,,
4- 6.,1.3 ,1.5 ,1.5 ,1.6 ,4.6 ,2.8 ,***,1.3 ,-1.7 ,***,***,0.2 ,5.8 ,,***,1.7 ,-7.9 ,1.5 ,,1.8 ,2.5 ,-0.1 ,,1.8 ,,1.1 ,,,,,,
7- 9.,0.0 ,0.0 ,0.0 ,-0.2 ,4.4 ,1.1 ,***,1.1 ,-4.3 ,***,***,1.5 ,0.9 ,,***,-3.9 ,-3.3 ,-0.0 ,,-0.0 ,0.2 ,-0.9 ,,0.1 ,,0.3 ,,,,,,
10-12.,0.9 ,1.1 ,1.1 ,1.1 ,2.7 ,0.1 ,***,0.5 ,-2.0 ,***,***,4.8 ,3.8 ,,***,1.1 ,-0.3 ,1.0 ,,0.8 ,1.2 ,-0.4 ,,0.0 ,,0.8 ,,,,,,
1997/ 1- 3.,0.2 ,1.5 ,1.5 ,1.6 ,-2.7 ,0.8 ,***,0.7 ,-1.6 ,***,***,6.0 ,5.5 ,,***,6.5 ,3.8 ,0.3 ,,0.1 ,0.2 ,-0.2 ,,-0.5 ,,0.8 ,,,,,,
4- 6.,0.4 ,-1.1 ,-1.1 ,-1.5 ,-8.0 ,0.2 ,***,0.7 ,1.3 ,***,***,3.2 ,-3.0 ,,***,0.6 ,-1.5 ,0.4 ,,-0.3 ,-0.6 ,0.9 ,,-1.1 ,,-0.2 ,,,,,,
7- 9.,-0.0 ,0.2 ,0.2 ,0.1 ,-6.7 ,0.2 ,***,-0.4 ,0.2 ,***,***,-2.8 ,-2.1 ,,***,-5.8 ,2.7 ,-0.2 ,,0.1 ,0.2 ,-0.2 ,,-1.1 ,,-0.4 ,,,,,,
10-12.,0.2 ,-0.3 ,-0.3 ,-0.5 ,-4.8 ,2.2 ,***,0.9 ,-5.2 ,***,***,5.7 ,-0.3 ,,***,13.4 ,8.5 ,0.4 ,,-0.4 ,-0.2 ,-1.1 ,,-1.1 ,,0.3 ,,,,,,
1998/ 1- 3.,-1.3 ,-0.3 ,-0.4 ,-0.6 ,-3.1 ,-1.9 ,***,-0.1 ,-6.1 ,***,***,-2.6 ,-3.0 ,,***,-5.7 ,-6.0 ,-1.3 ,,-1.3 ,-1.0 ,-2.3 ,,-3.2 ,,-1.1 ,,,,,,
4- 6.,-0.6 ,-0.2 ,-0.3 ,-0.4 ,-2.5 ,-1.2 ,***,-0.2 ,-1.3 ,***,***,-0.3 ,-3.6 ,,***,-6.4 ,3.9 ,-0.8 ,,-0.9 ,-1.0 ,-0.7 ,,-1.5 ,,-0.3 ,,,,,,
7- 9.,-0.2 ,0.5 ,0.4 ,0.4 ,-2.5 ,-1.0 ,***,0.2 ,4.2 ,***,***,0.8 ,1.6 ,,***,0.8 ,-10.4 ,-0.0 ,,-0.1 ,-0.6 ,1.4 ,,0.1 ,,0.3 ,,,,,,
10-12.,1.0 ,0.2 ,0.2 ,0.2 ,-2.8 ,-3.4 ,***,2.1 ,9.5 ,***,***,-8.7 ,-10.9 ,,***,-14.8 ,-21.2 ,0.9 ,,1.0 ,-0.0 ,4.2 ,,0.2 ,,0.6 ,,,,,,
1999/ 1- 3.,-1.9 ,-0.1 ,-0.1 ,-0.2 ,-1.5 ,-3.3 ,***,-0.2 ,-0.3 ,***,***,-2.8 ,-1.2 ,,***,-2.8 ,8.6 ,-2.0 ,,-1.7 ,-2.4 ,0.2 ,,-2.1 ,,-0.9 ,,,,,,
4- 6.,-0.0 ,-0.0 ,-0.1 ,-0.2 ,6.5 ,0.2 ,***,0.7 ,-2.1 ,***,***,2.0 ,4.7 ,,***,2.8 ,-16.9 ,0.2 ,,0.2 ,0.3 ,-0.3 ,,0.5 ,,0.0 ,,,,,,
7- 9.,-0.1 ,0.6 ,0.5 ,0.5 ,1.1 ,-0.8 ,***,-0.3 ,-3.1 ,***,***,0.9 ,2.3 ,,***,-2.3 ,-8.0 ,-0.1 ,,0.0 ,0.5 ,-1.3 ,,-1.1 ,,-0.2 ,,,,,,
10-12.,-0.1 ,-0.0 ,-0.0 ,-0.1 ,-4.5 ,0.8 ,***,0.4 ,-0.6 ,***,***,1.1 ,0.7 ,,***,1.7 ,-3.2 ,-0.1 ,,-0.2 ,-0.2 ,-0.2 ,,-0.5 ,,-0.0 ,,,,,,
2000/ 1- 3.,1.4 ,0.4 ,0.5 ,0.5 ,1.5 ,4.0 ,***,1.7 ,-5.0 ,***,***,3.5 ,2.4 ,,***,3.7 ,19.0 ,1.3 ,,1.3 ,1.7 ,-0.2 ,,1.0 ,,0.9 ,,,,,,
4- 6.,0.0 ,-0.5 ,-0.4 ,-0.5 ,2.0 ,-2.2 ,***,1.0 ,-1.0 ,***,***,1.6 ,2.2 ,,***,7.2 ,-13.6 ,0.3 ,,0.1 ,-0.0 ,0.3 ,,-1.2 ,,-0.5 ,,,,,,
7- 9.,-0.2 ,-0.0 ,0.1 ,0.0 ,-1.5 ,3.1 ,***,1.1 ,-1.8 ,***,***,1.9 ,4.3 ,,***,0.7 ,3.4 ,-0.2 ,,0.0 ,-0.0 ,0.1 ,,1.0 ,,0.3 ,,,,,,
10-12.,0.6 ,0.9 ,0.9 ,0.9 ,1.5 ,2.4 ,***,0.3 ,-3.7 ,***,***,1.9 ,5.4 ,,***,3.0 ,10.3 ,0.6 ,,0.9 ,1.6 ,-1.0 ,,0.7 ,,0.4 ,,,,,,
2001/ 1- 3.,0.9 ,0.6 ,0.6 ,0.6 ,-0.2 ,-0.3 ,***,1.8 ,4.4 ,***,***,-2.5 ,1.0 ,,***,3.1 ,1.7 ,0.9 ,,1.3 ,0.8 ,2.6 ,,0.9 ,,0.5 ,,,,,,
4- 6.,-1.5 ,0.0 ,-0.0 ,-0.2 ,-5.7 ,-3.4 ,***,0.1 ,-6.1 ,***,***,-3.9 ,-1.2 ,,***,-3.7 ,-5.3 ,-1.6 ,,-1.3 ,-1.0 ,-2.0 ,,-4.5 ,,-1.5 ,,,,,,
7- 9.,-1.3 ,-0.4 ,-0.4 ,-0.6 ,-1.3 ,-2.4 ,***,0.6 ,-0.8 ,***,***,-2.9 ,-3.9 ,,***,-2.9 ,-5.5 ,-1.3 ,,-1.4 ,-1.9 ,0.1 ,,-1.8 ,,-0.5 ,,,,,,
10-12.,-0.6 ,-0.7 ,-0.8 ,-1.0 ,0.1 ,-4.5 ,***,0.7 ,-2.7 ,***,***,-0.8 ,-4.7 ,,***,-0.4 ,-12.6 ,-0.5 ,,-1.0 ,-1.2 ,-0.1 ,,-3.3 ,,-0.8 ,,,,,,
2002/ 1- 3.,0.3 ,0.4 ,0.4 ,0.4 ,-1.2 ,-1.1 ,***,2.4 ,0.9 ,***,***,5.4 ,2.7 ,,***,-4.3 ,-9.1 ,0.3 ,,0.0 ,-0.6 ,1.9 ,,-0.6 ,,0.7 ,,,,,,
4- 6.,-0.2 ,0.5 ,0.5 ,0.6 ,-0.2 ,-2.1 ,***,-2.2 ,-3.1 ,***,***,4.5 ,2.0 ,,***,-5.9 ,4.7 ,-0.4 ,,-0.5 ,0.1 ,-2.4 ,,-2.1 ,,-0.4 ,,,,,,
7- 9.,-0.0 ,-0.1 ,-0.1 ,-0.1 ,-0.2 ,1.0 ,***,0.6 ,-0.7 ,***,***,-2.3 ,0.7 ,,***,2.6 ,4.3 ,0.0 ,,0.3 ,0.4 ,0.2 ,,0.4 ,,-0.2 ,,,,,,
10-12.,0.0 ,-0.5 ,-0.5 ,-0.7 ,-1.5 ,-0.3 ,***,-0.3 ,-1.6 ,***,***,6.5 ,4.7 ,,***,-4.3 ,-2.6 ,-0.0 ,,-0.2 ,-0.0 ,-0.7 ,,-0.8 ,,-0.3 ,,,,,,
2003/ 1- 3.,-0.6 ,0.2 ,0.2 ,0.1 ,-0.5 ,-0.4 ,***,-0.1 ,-3.1 ,***,***,-1.6 ,0.8 ,,***,3.8 ,-5.7 ,-0.5 ,,-0.3 ,-0.1 ,-0.9 ,,-1.2 ,,-0.5 ,,,,,,
4- 6.,0.6 ,-0.6 ,-0.7 ,-0.9 ,0.3 ,0.8 ,***,1.9 ,0.0 ,***,***,0.4 ,-4.6 ,,***,0.1 ,-6.8 ,0.6 ,,0.1 ,-0.4 ,1.5 ,,0.5 ,,0.7 ,,,,,,
7- 9.,-0.0 ,-0.2 ,-0.2 ,-0.4 ,2.5 ,-1.9 ,***,-0.6 ,-2.6 ,***,***,2.8 ,2.3 ,,***,12.7 ,-3.6 ,0.3 ,,-0.1 ,0.3 ,-1.2 ,,-1.4 ,,-0.5 ,,,,,,
10-12.,0.4 ,1.1 ,1.1 ,1.2 ,-1.7 ,3.6 ,***,-1.3 ,-2.4 ,***,***,2.3 ,0.0 ,,***,-9.6 ,-4.6 ,0.2 ,,0.1 ,0.7 ,-1.8 ,,1.2 ,,0.9 ,,,,,,
2004/ 1- 3.,0.6 ,0.0 ,0.0 ,-0.1 ,1.4 ,-0.6 ,***,0.7 ,-4.4 ,***,***,4.7 ,5.1 ,,***,8.9 ,-0.7 ,0.7 ,,0.5 ,0.9 ,-0.7 ,,-1.2 ,,-0.1 ,,,,,,
4- 6.,-0.3 ,-0.1 ,-0.1 ,-0.2 ,1.9 ,-0.5 ,***,0.3 ,-0.7 ,***,***,3.8 ,4.4 ,,***,7.5 ,7.4 ,-0.2 ,,-0.3 ,-0.6 ,0.4 ,,-0.1 ,,-0.0 ,,,,,,
7- 9.,0.5 ,0.6 ,0.6 ,0.7 ,0.4 ,1.1 ,***,0.4 ,-1.7 ,***,***,2.0 ,3.8 ,,***,3.8 ,7.8 ,0.6 ,,0.7 ,1.0 ,-0.1 ,,0.3 ,,0.3 ,,,,,,
10-12.,-0.1 ,-0.5 ,-0.5 ,-0.7 ,0.2 ,1.8 ,***,0.6 ,-0.9 ,***,***,1.2 ,2.7 ,,***,4.6 ,5.7 ,-0.0 ,,0.0 ,-0.0 ,0.3 ,,0.9 ,,-0.1 ,,,,,,
2005/ 1- 3.,-0.0 ,0.2 ,0.2 ,0.2 ,-1.6 ,2.5 ,***,-0.3 ,-2.1 ,***,***,-1.8 ,-0.0 ,,***,0.8 ,18.7 ,-0.1 ,,0.2 ,0.5 ,-0.7 ,,0.7 ,,0.0 ,,,,,,
4- 6.,0.3 ,0.3 ,0.3 ,0.2 ,-0.5 ,3.5 ,***,0.3 ,-6.1 ,***,***,4.7 ,5.9 ,,***,10.1 ,5.4 ,0.5 ,,0.3 ,0.9 ,-1.3 ,,0.8 ,,0.3 ,,,,,,
7- 9.,0.6 ,0.7 ,0.7 ,0.8 ,2.0 ,2.0 ,***,0.0 ,2.0 ,***,***,4.1 ,6.5 ,,***,4.7 ,1.0 ,0.7 ,,0.9 ,1.0 ,0.5 ,,2.0 ,,0.7 ,,,,,,
10-12.,0.0 ,0.0 ,0.0 ,-0.1 ,1.4 ,-1.4 ,***,0.3 ,-1.8 ,***,***,6.8 ,5.0 ,,***,8.8 ,13.2 ,0.2 ,,-0.3 ,-0.3 ,-0.2 ,,-1.0 ,,0.1 ,,,,,,
2006/ 1- 3.,-0.0 ,0.6 ,0.6 ,0.7 ,-0.7 ,-0.2 ,***,-0.5 ,3.3 ,***,***,1.9 ,4.6 ,,***,6.5 ,8.9 ,0.1 ,,0.3 ,0.3 ,0.3 ,,0.4 ,,0.0 ,,,,,,
4- 6.,-0.1 ,-0.3 ,-0.3 ,-0.5 ,0.3 ,1.6 ,***,0.0 ,-3.7 ,***,***,1.1 ,1.3 ,,***,1.3 ,7.3 ,-0.1 ,,-0.1 ,0.1 ,-0.9 ,,0.3 ,,-0.1 ,,,,,,
7- 9.,-0.3 ,-0.6 ,-0.6 ,-0.8 ,0.7 ,0.1 ,***,-0.2 ,-5.0 ,***,***,3.6 ,3.4 ,,***,4.0 ,2.7 ,-0.2 ,,-0.4 ,-0.2 ,-1.2 ,,-0.8 ,,-0.5 ,,,,,,
10-12.,1.4 ,1.3 ,1.3 ,1.5 ,0.2 ,1.9 ,***,-0.2 ,1.4 ,***,***,2.2 ,-0.2 ,,***,7.2 ,11.1 ,1.6 ,,1.1 ,1.4 ,0.1 ,,1.5 ,,1.4 ,,,,,,
2007/ 1- 3.,0.4 ,-0.2 ,-0.2 ,-0.3 ,-0.8 ,0.2 ,***,0.1 ,-0.2 ,***,***,3.5 ,2.7 ,,***,6.6 ,6.4 ,0.6 ,,0.2 ,0.3 ,0.0 ,,-0.1 ,,0.1 ,,,,,,
4- 6.,0.0 ,0.5 ,0.6 ,0.6 ,-1.1 ,-0.9 ,***,1.4 ,-2.1 ,***,***,3.8 ,4.3 ,,***,1.3 ,-6.7 ,0.1 ,,0.0 ,-0.2 ,0.8 ,,-1.2 ,,0.2 ,,,,,,
7- 9.,-1.0 ,-1.0 ,-1.0 ,-1.3 ,-8.1 ,-1.3 ,***,-0.6 ,-1.2 ,***,***,1.0 ,-0.2 ,,***,0.1 ,28.4 ,-1.3 ,,-1.3 ,-1.4 ,-0.8 ,,-2.5 ,,-1.1 ,,,,,,
10-12.,0.1 ,0.6 ,0.6 ,0.6 ,-10.7 ,0.0 ,***,1.3 ,2.7 ,***,***,1.2 ,4.3 ,,***,3.8 ,-11.6 ,0.4 ,,0.5 ,0.2 ,1.6 ,,-1.2 ,,-0.2 ,,,,,,
2008/ 1- 3.,0.1 ,0.8 ,0.8 ,0.8 ,3.8 ,1.1 ,***,-0.0 ,-1.7 ,***,***,-0.1 ,1.5 ,,***,-6.1 ,-13.3 ,0.0 ,,0.4 ,0.6 ,-0.3 ,,0.9 ,,0.4 ,,,,,,
4- 6.,-0.8 ,-1.1 ,-1.1 ,-1.4 ,5.6 ,-1.1 ,***,-1.0 ,-2.4 ,***,***,0.0 ,2.5 ,,***,-15.9 ,-2.2 ,-1.4 ,,-0.3 ,0.0 ,-1.5 ,,-0.3 ,,-1.3 ,,,,,,
7- 9.,-1.9 ,0.2 ,0.2 ,0.1 ,3.4 ,-1.3 ,***,-0.7 ,1.0 ,***,***,3.2 ,8.3 ,,***,2.1 ,-7.3 ,-1.7 ,,-1.1 ,-1.3 ,-0.4 ,,-0.1 ,,-0.9 ,,,,,,
