名目季節調整系列(前期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:％),,,,,,
10-12.,-1.2 ,-2.4 ,-2.4 ,-2.9 ,-1.6 ,-4.2 ,***,1.1 ,-1.2 ,***,***,-23.0 ,-19.2 ,,***,-9.4 ,-6.0 ,-1.5 ,,-0.5 ,-0.9 ,0.7 ,,-3.2 ,,-2.7 ,,,,,,
2009/ 1- 3.,-4.8 ,-1.5 ,-1.5 ,-1.8 ,-9.6 ,-7.4 ,***,-0.6 ,1.6 ,***,***,-29.4 ,-27.5 ,,***,-9.2 ,-14.7 ,-4.8 ,,-4.7 ,-6.0 ,-0.3 ,,-6.0 ,,-2.6 ,,,,,,
4- 6.,1.1 ,0.4 ,0.4 ,0.4 ,-10.9 ,-4.0 ,***,0.7 ,5.9 ,***,***,10.3 ,-3.0 ,,***,5.7 ,-11.4 ,1.4 ,,-0.3 ,-1.0 ,1.9 ,,-3.1 ,,1.1 ,,,,,,
7- 9.,-0.8 ,0.0 ,0.0 ,-0.0 ,-7.7 ,-3.3 ,***,1.0 ,-2.3 ,***,***,9.7 ,9.1 ,,***,-4.3 ,-2.9 ,-0.9 ,,-1.0 ,-1.4 ,0.3 ,,-3.8 ,,-0.6 ,,,,,,
10-12.,0.6 ,0.2 ,0.2 ,0.2 ,-3.3 ,-1.1 ,***,0.1 ,1.3 ,***,***,6.1 ,3.1 ,,***,-2.1 ,-7.3 ,0.6 ,,0.2 ,0.1 ,0.3 ,,-0.9 ,,0.4 ,,,,,,
2010/ 1- 3.,1.0 ,0.2 ,0.2 ,0.2 ,5.6 ,0.8 ,***,-0.4 ,0.9 ,***,***,6.7 ,4.8 ,,***,8.4 ,10.3 ,1.2 ,,0.7 ,0.9 ,-0.1 ,,1.5 ,,0.7 ,,,,,,
4- 6.,0.7 ,0.5 ,0.5 ,0.6 ,0.6 ,0.9 ,***,1.3 ,-5.3 ,***,***,4.3 ,5.6 ,,***,-0.1 ,7.9 ,0.6 ,,0.8 ,1.2 ,-0.3 ,,-0.6 ,,0.3 ,,,,,,
7- 9.,1.2 ,0.7 ,0.7 ,0.8 ,1.2 ,0.7 ,***,0.4 ,-1.1 ,***,***,-0.1 ,-0.3 ,,***,3.1 ,-4.5 ,1.3 ,,1.2 ,1.6 ,-0.0 ,,0.4 ,,0.6 ,,,,,,
10-12.,-1.1 ,-1.5 ,-1.5 ,-1.9 ,3.2 ,-0.5 ,***,-0.2 ,-2.4 ,***,***,-0.3 ,1.3 ,,***,2.6 ,5.2 ,-1.0 ,,-0.9 ,-1.0 ,-0.5 ,,-0.4 ,,-1.2 ,,,,,,
2011/ 1- 3.,-1.3 ,-1.6 ,-1.7 ,-2.0 ,3.5 ,2.0 ,***,1.1 ,-1.4 ,***,***,-0.4 ,4.9 ,,***,3.5 ,-1.0 ,-1.1 ,,-0.6 ,-1.0 ,0.6 ,,1.5 ,,-1.1 ,,,,,,
4- 6.,-1.6 ,0.5 ,0.4 ,0.6 ,-1.8 ,-2.1 ,***,0.3 ,2.7 ,***,***,-7.8 ,3.0 ,,***,-1.2 ,-4.3 ,-1.6 ,,0.0 ,-0.2 ,0.8 ,,-1.1 ,,-1.5 ,,,,,,
7- 9.,2.1 ,1.4 ,1.4 ,1.7 ,4.2 ,2.6 ,***,0.3 ,-2.6 ,***,***,9.0 ,3.8 ,,***,-0.2 ,0.4 ,2.0 ,,1.4 ,2.0 ,-0.3 ,,1.7 ,,2.0 ,,,,,,
10-12.,-0.1 ,0.6 ,0.6 ,0.7 ,-1.9 ,3.8 ,***,0.2 ,-3.6 ,***,***,-4.7 ,-0.1 ,,***,-4.3 ,0.4 ,-0.3 ,,0.6 ,0.9 ,-0.6 ,,1.4 ,,0.0 ,,,,,,
2012/ 1- 3.,1.4 ,0.5 ,0.5 ,0.6 ,-1.6 ,0.2 ,***,1.1 ,5.9 ,***,***,2.8 ,1.8 ,,***,0.2 ,2.0 ,1.4 ,,1.3 ,1.1 ,2.0 ,,1.0 ,,0.9 ,,,,,,
4- 6.,-1.4 ,-0.3 ,-0.3 ,-0.4 ,2.1 ,-0.3 ,***,-1.2 ,1.1 ,***,***,-1.4 ,2.0 ,,***,1.7 ,9.5 ,-1.4 ,,-0.9 ,-1.0 ,-0.7 ,,0.3 ,,-0.8 ,,,,,,
7- 9.,-0.5 ,-0.8 ,-0.8 ,-1.0 ,1.6 ,-1.2 ,***,0.6 ,-2.2 ,***,***,-3.3 ,-2.2 ,,***,-1.0 ,-11.8 ,-0.4 ,,-0.4 ,-0.5 ,0.0 ,,-1.0 ,,-0.7 ,,,,,,
10-12.,-0.0 ,0.7 ,0.7 ,0.9 ,2.7 ,-0.1 ,***,0.5 ,-1.8 ,***,***,-2.1 ,-0.3 ,,***,4.7 ,14.7 ,0.0 ,,0.2 ,0.3 ,-0.0 ,,-0.0 ,,0.3 ,,,,,,
2013/ 1- 3.,1.1 ,1.5 ,1.5 ,1.8 ,1.6 ,0.2 ,***,0.1 ,2.1 ,***,***,9.7 ,8.7 ,,***,9.2 ,9.2 ,1.4 ,,1.1 ,1.4 ,0.4 ,,0.8 ,,1.0 ,,,,,,
4- 6.,0.9 ,0.6 ,0.7 ,0.8 ,1.7 ,3.6 ,***,0.7 ,4.0 ,***,***,6.0 ,5.0 ,,***,21.8 ,15.4 ,1.6 ,,0.8 ,0.6 ,1.5 ,,3.4 ,,1.4 ,,,,,,
7- 9.,1.1 ,0.7 ,0.7 ,0.9 ,4.5 ,1.7 ,***,0.2 ,5.9 ,***,***,1.5 ,3.8 ,,***,-4.0 ,13.8 ,0.7 ,,1.5 ,1.5 ,1.3 ,,3.0 ,,0.8 ,,,,,,
10-12.,-0.1 ,0.3 ,0.3 ,0.4 ,4.5 ,1.1 ,***,-0.1 ,2.1 ,***,***,-0.4 ,4.3 ,,***,-0.5 ,-5.6 ,-0.0 ,,0.8 ,0.9 ,0.5 ,,1.9 ,,-0.3 ,,,,,,
2014/ 1- 3.,0.8 ,2.2 ,2.3 ,2.8 ,1.5 ,2.7 ,***,0.9 ,-1.5 ,***,***,6.0 ,7.8 ,,***,4.0 ,15.7 ,0.8 ,,1.3 ,1.6 ,0.4 ,,1.6 ,,1.3 ,,,,,,
4- 6.,0.3 ,-3.1 ,-3.1 ,-3.7 ,-5.8 ,-1.6 ,***,1.0 ,-1.2 ,***,***,1.3 ,-5.7 ,,***,2.3 ,5.1 ,0.3 ,,-1.1 ,-1.6 ,0.6 ,,-2.2 ,,-0.8 ,,,,,,
7- 9.,0.1 ,1.0 ,1.1 ,1.3 ,-5.2 ,1.0 ,***,0.8 ,3.1 ,***,***,3.5 ,3.8 ,,***,8.3 ,2.7 ,0.4 ,,0.2 ,-0.2 ,1.4 ,,0.4 ,,0.7 ,,,,,,
10-12.,0.7 ,0.1 ,0.1 ,0.1 ,0.2 ,1.0 ,***,0.4 ,-0.0 ,***,***,5.4 ,1.2 ,,***,11.4 ,7.4 ,1.2 ,,0.0 ,0.0 ,0.1 ,,0.6 ,,1.0 ,,,,,,
2015/ 1- 3.,2.4 ,0.4 ,0.3 ,0.4 ,2.9 ,5.2 ,***,0.7 ,-3.7 ,***,***,-0.6 ,-5.8 ,,***,-7.1 ,0.1 ,1.9 ,,1.3 ,1.8 ,-0.2 ,,3.0 ,,2.2 ,,,,,,
4- 6.,0.7 ,0.5 ,0.4 ,0.5 ,1.9 ,-1.1 ,***,-0.2 ,-0.9 ,***,***,-1.8 ,-2.0 ,,***,4.9 ,1.5 ,0.9 ,,0.6 ,0.9 ,-0.4 ,,-0.6 ,,0.1 ,,,,,,
7- 9.,0.3 ,0.3 ,0.2 ,0.3 ,0.8 ,1.5 ,***,0.6 ,0.2 ,***,***,2.2 ,1.4 ,,***,1.1 ,7.7 ,0.3 ,,0.2 ,0.1 ,0.5 ,,1.2 ,,0.7 ,,,,,,
10-12.,-0.1 ,-0.9 ,-0.9 ,-1.1 ,-0.3 ,-0.6 ,***,1.2 ,2.0 ,***,***,-4.9 ,-5.3 ,,***,3.8 ,2.8 ,0.1 ,,-0.2 ,-0.7 ,1.3 ,,-0.0 ,,-0.1 ,,,,,,
2016/ 1- 3.,1.1 ,-0.3 ,-0.3 ,-0.4 ,-0.4 ,-1.1 ,***,1.2 ,2.6 ,***,***,-3.2 ,-9.3 ,,***,-6.7 ,-2.6 ,0.7 ,,0.1 ,-0.4 ,1.5 ,,-0.2 ,,1.1 ,,,,,,
4- 6.,-0.4 ,-0.5 ,-0.5 ,-0.6 ,2.6 ,-0.1 ,***,-1.5 ,-3.6 ,***,***,-2.7 ,-3.3 ,,***,-2.2 ,5.9 ,-0.6 ,,-0.4 ,0.1 ,-2.0 ,,-0.4 ,,-0.6 ,,,,,,
7- 9.,0.0 ,0.2 ,0.2 ,0.3 ,1.7 ,0.2 ,***,0.3 ,0.5 ,***,***,0.3 ,-0.9 ,,***,-1.4 ,3.1 ,-0.1 ,,-0.1 ,-0.3 ,0.3 ,,0.5 ,,0.5 ,,,,,,
10-12.,0.2 ,0.5 ,0.5 ,0.6 ,1.1 ,1.0 ,***,0.1 ,0.6 ,***,***,4.6 ,5.3 ,,***,0.9 ,0.3 ,0.2 ,,0.2 ,0.2 ,0.2 ,,0.9 ,,0.5 ,,,,,,
2017/ 1- 3.,0.6 ,0.6 ,0.6 ,0.8 ,-0.1 ,0.8 ,***,0.2 ,1.8 ,***,***,6.3 ,7.7 ,,***,9.6 ,3.8 ,1.0 ,,0.8 ,0.8 ,0.5 ,,0.8 ,,0.4 ,,,,,,
4- 6.,0.5 ,0.6 ,0.6 ,0.7 ,1.1 ,1.0 ,***,-0.1 ,0.9 ,***,***,-0.8 ,0.5 ,,***,-2.9 ,2.1 ,0.3 ,,0.8 ,0.8 ,0.4 ,,1.0 ,,0.3 ,,,,,,
7- 9.,1.2 ,-0.3 ,-0.3 ,-0.3 ,-0.2 ,1.0 ,***,0.5 ,-1.2 ,***,***,4.0 ,-0.3 ,,***,3.9 ,-2.3 ,1.4 ,,0.5 ,0.6 ,0.1 ,,0.4 ,,0.8 ,,,,,,
10-12.,-0.1 ,0.6 ,0.6 ,0.7 ,-2.8 ,0.8 ,***,0.0 ,0.5 ,***,***,1.6 ,5.2 ,,***,0.2 ,6.4 ,-0.2 ,,0.5 ,0.6 ,0.1 ,,0.2 ,,-0.2 ,,,,,,
2018/ 1- 3.,0.3 ,0.4 ,0.5 ,0.6 ,-2.0 ,1.1 ,***,1.0 ,1.4 ,***,***,1.4 ,1.3 ,,***,1.4 ,8.8 ,0.2 ,,0.3 ,0.0 ,1.1 ,,0.7 ,,0.6 ,,,,,,
4- 6.,0.1 ,-0.1 ,-0.0 ,0.0 ,-2.4 ,1.9 ,***,0.2 ,1.6 ,***,***,0.6 ,2.0 ,,***,4.8 ,-1.2 ,0.4 ,,0.3 ,0.3 ,0.4 ,,1.2 ,,0.0 ,,,,,,
7- 9.,-0.6 ,0.4 ,0.6 ,0.7 ,0.7 ,-2.7 ,***,-0.1 ,-0.2 ,***,***,0.2 ,2.7 ,,***,0.1 ,1.1 ,-0.6 ,,-0.2 ,-0.2 ,-0.1 ,,-1.7 ,,-0.7 ,,,,,,
10-12.,-0.3 ,-0.2 ,-0.2 ,-0.2 ,1.6 ,2.3 ,***,0.3 ,-1.2 ,***,***,-0.7 ,4.1 ,,***,3.0 ,3.6 ,-0.2 ,,0.5 ,0.7 ,-0.1 ,,1.5 ,,-0.6 ,,,,,,
2019/ 1- 3.,1.0 ,-0.1 ,-0.2 ,-0.2 ,2.8 ,0.1 ,***,0.6 ,2.5 ,***,***,-2.6 ,-7.6 ,,***,-2.5 ,-2.9 ,0.8 ,,-0.0 ,-0.3 ,1.0 ,,1.0 ,,1.3 ,,,,,,
4- 6.,0.4 ,0.3 ,0.3 ,0.3 ,1.7 ,-0.4 ,***,1.3 ,1.4 ,***,***,-0.9 ,1.6 ,,***,2.4 ,3.1 ,0.4 ,,0.8 ,0.6 ,1.4 ,,0.3 ,,0.0 ,,,,,,
7- 9.,0.1 ,0.9 ,0.9 ,1.0 ,0.8 ,1.8 ,***,0.2 ,-0.0 ,***,***,-0.9 ,0.1 ,,***,2.0 ,3.2 ,0.1 ,,0.3 ,0.3 ,0.1 ,,1.3 ,,0.7 ,,,,,,
10-12.,-2.0 ,-2.9 ,-3.1 ,-3.6 ,-0.3 ,-6.8 ,***,1.2 ,0.7 ,***,***,-1.8 ,-3.2 ,,***,-3.8 ,-1.3 ,-2.1 ,,-2.3 ,-3.4 ,1.1 ,,-4.3 ,,-2.2 ,,,,,,
2020/ 1- 3.,0.8 ,1.2 ,1.1 ,1.3 ,-4.1 ,4.5 ,***,-0.5 ,0.2 ,***,***,-3.3 ,-3.5 ,,***,-0.8 ,-8.6 ,0.9 ,,0.7 ,1.1 ,-0.4 ,,2.2 ,,1.1 ,,,,,,
4- 6.,-7.3 ,-8.4 ,-8.8 ,-10.5 ,-1.2 ,-7.8 ,***,-0.1 ,5.0 ,***,***,-21.2 ,-10.5 ,,***,-14.8 ,-7.7 ,-7.7 ,,-5.5 ,-7.7 ,0.9 ,,-4.2 ,,-7.4 ,,,,,,
7- 9.,5.1 ,5.1 ,5.2 ,6.3 ,-4.6 ,-0.0 ,***,1.8 ,-0.7 ,***,***,11.9 ,-5.1 ,,***,2.5 ,-1.0 ,5.1 ,,2.5 ,3.0 ,1.3 ,,-0.9 ,,5.5 ,,,,,,
10-12.,1.6 ,1.4 ,1.4 ,1.7 ,-0.2 ,1.9 ,***,0.5 ,0.3 ,***,***,8.6 ,5.3 ,,***,1.4 ,-8.1 ,1.8 ,,1.1 ,1.4 ,0.3 ,,1.2 ,,1.7 ,,,,,,
2021/ 1- 3.,0.4 ,-0.9 ,-0.8 ,-1.0 ,3.2 ,2.4 ,***,0.1 ,0.4 ,***,***,7.6 ,10.1 ,,***,11.5 ,11.2 ,0.8 ,,0.7 ,0.9 ,0.2 ,,2.1 ,,-0.3 ,,,,,,
4- 6.,0.6 ,0.8 ,0.9 ,1.1 ,3.7 ,2.8 ,***,2.9 ,-2.5 ,***,***,4.8 ,10.0 ,,***,17.8 ,6.8 ,1.5 ,,1.4 ,1.3 ,1.8 ,,1.8 ,,0.6 ,,,,,,
7- 9.,-0.5 ,-0.9 ,-0.9 ,-1.0 ,2.5 ,-0.8 ,***,1.3 ,-0.2 ,***,***,1.6 ,3.8 ,,***,-0.7 ,1.1 ,-0.6 ,,-0.1 ,-0.5 ,0.9 ,,-0.2 ,,-0.7 ,,,,,,
10-12.,0.9 ,3.1 ,3.2 ,3.9 ,1.8 ,1.3 ,***,-1.2 ,-0.1 ,***,***,2.8 ,6.9 ,,***,7.3 ,10.8 ,1.2 ,,1.7 ,2.7 ,-0.9 ,,1.1 ,,0.8 ,,,,,,
2022/ 1- 3.,0.0 ,0.2 ,0.2 ,0.2 ,0.5 ,1.4 ,***,1.3 ,-3.0 ,***,***,6.3 ,8.9 ,,***,10.3 ,1.8 ,0.7 ,,0.6 ,0.7 ,0.5 ,,0.3 ,,-0.2 ,,,,,,
4- 6.,0.8 ,2.9 ,3.0 ,3.6 ,-0.7 ,3.4 ,***,-0.1 ,-2.2 ,***,***,7.9 ,12.6 ,,***,0.1 ,9.4 ,0.6 ,,2.0 ,2.8 ,-0.5 ,,1.6 ,,0.8 ,,,,,,
7- 9.,-0.6 ,0.5 ,0.6 ,0.7 ,1.0 ,3.3 ,***,1.5 ,1.9 ,***,***,5.2 ,11.3 ,,***,8.8 ,5.3 ,-0.0 ,,1.1 ,1.0 ,1.1 ,,2.7 ,,-0.4 ,,,,,,
10-12.,1.7 ,1.0 ,1.0 ,1.2 ,1.0 ,-0.1 ,***,1.1 ,1.7 ,***,***,1.3 ,-1.2 ,,***,14.6 ,14.6 ,2.4 ,,1.0 ,0.7 ,1.8 ,,0.4 ,,1.5 ,,,,,,
2023/ 1- 3.,2.7 ,2.0 ,2.0 ,2.3 ,0.4 ,1.9 ,***,1.7 ,3.4 ,***,***,-3.7 ,-6.5 ,,***,-8.0 ,14.1 ,1.4 ,,1.7 ,1.6 ,2.0 ,,2.0 ,,2.9 ,,,,,,
4- 6.,2.1 ,0.2 ,0.1 ,0.1 ,0.9 ,-0.8 ,***,-2.4 ,1.2 ,***,***,3.4 ,-6.7 ,,***,7.3 ,6.0 ,2.4 ,,-0.2 ,0.3 ,-1.8 ,,-0.2 ,,1.9 ,,,,,,
7- 9.,-0.1 ,0.0 ,-0.0 ,-0.0 ,-0.4 ,0.8 ,***,0.8 ,-0.9 ,***,***,4.2 ,2.8 ,,***,2.7 ,8.1 ,-0.1 ,,-0.4 ,-0.7 ,0.4 ,,0.3 ,,0.5 ,,,,,,
10-12.,0.2 ,0.3 ,0.3 ,0.3 ,-0.3 ,3.0 ,***,-0.1 ,-1.0 ,***,***,4.7 ,6.3 ,,***,4.4 ,2.8 ,0.5 ,,0.6 ,0.9 ,-0.3 ,,1.7 ,,0.2 ,,,,,,
2024/ 1- 3.,0.1 ,0.2 ,0.2 ,0.2 ,-2.2 ,0.0 ,***,0.4 ,-1.5 ,***,***,-2.6 ,-2.3 ,,***,1.0 ,5.9 ,-0.1 ,,0.1 ,0.1 ,-0.0 ,,-0.6 ,,-0.0 ,,,,,,
4- 6.,2.4 ,1.5 ,1.6 ,1.9 ,2.6 ,2.3 ,***,2.0 ,6.9 ,***,***,4.2 ,3.4 ,,***,6.8 ,2.4 ,2.9 ,,2.3 ,2.1 ,2.9 ,,3.2 ,,2.2 ,,,,,,
7- 9.,0.5 ,1.0 ,1.0 ,1.2 ,0.7 ,0.5 ,***,0.7 ,-0.7 ,***,***,-0.2 ,0.7 ,,***,2.8 ,3.4 ,0.6 ,,0.7 ,0.8 ,0.4 ,,0.3 ,,0.5 ,,,,,,
10-12.,1.1 ,0.3 ,0.3 ,0.3 ,0.4 ,1.4 ,***,0.9 ,0.2 ,***,***,2.4 ,-1.2 ,,***,-3.2 ,-0.8 ,0.8 ,,0.3 ,0.2 ,0.7 ,,1.0 ,,1.4 ,,,,,,
2025/ 1- 3.,0.9 ,1.7 ,1.7 ,2.0 ,2.4 ,2.0 ,***,-0.3 ,0.2 ,***,***,-0.0 ,3.8 ,,***,5.3 ,0.9 ,1.3 ,,1.8 ,2.5 ,-0.2 ,,1.7 ,,0.4 ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
